Numer konta księgowego,Nazwa konta księgowego,Nazwa dokumentu,Numer dokumentu,Data wystawienia dokumentu,Kwota dokumentu,Kwota WN,Data zapłaty,Dokument rozliczeniowy,Opis wydatku,Podmiot
520-10-022-1-101,Zużycie materiałów biurowych,,FV/4/01/2024,2024-01-09,132.41,132.41,2024-01-23,WB/133-127/24/0002/1,materiały biurowe,"""MASTER BIURO"" S.C. MAREK KUROWSKI, MARIUSZ GRYCIUK"
520-10-022-1-101,Zużycie materiałów biurowych,,65/2024,2024-01-23,430.5,430.5,2024-02-01,WB/133-127/24/0007/1,ksero,PHPU Kseromax Sp. z o.o.
520-10-022-1-101,Zużycie materiałów biurowych,,48/2024,2024-01-24,264.01,264.01,2024-01-31,RZ/2024/01/0021,pieczątki,Natalia Stankiewicz Merea
520-10-022-1-101,Zużycie materiałów biurowych,,FV/65/01/2024,2024-01-25,1552.8,1552.8,2024-02-01,WB/133-127/24/0007/2,materiały biurowe,"""MASTER BIURO"" S.C. MAREK KUROWSKI, MARIUSZ GRYCIUK"
520-10-022-1-101,Zużycie materiałów biurowych,,180/2024,2024-02-22,494.12,494.12,2024-03-05,WB/133-127/24/0018/1,ksero,PHPU Kseromax Sp. z o.o.
520-10-022-1-101,Zużycie materiałów biurowych,,2426705210019197,2024-02-21,620.97,480.31,2024-02-29,RZ/2024/02/0010,"cukierki, środki czystości, art. biurowe",Transgourmet Polska Sp. z o.o.
520-10-022-1-101,Zużycie materiałów biurowych,,278/2024,2024-03-20,430.5,430.5,2024-04-02,WB/133-127/24/0025/3,ksero,PHPU Kseromax Sp. z o.o.
520-10-022-1-101,Zużycie materiałów biurowych,,800651/003799/24,2024-04-24,50.46,50.46,2024-08-31,RZ/2024/08/0092,"zszywacz, zszywki",CASTORAMA POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-101,Zużycie materiałów biurowych,,411/2024,2024-04-25,430.5,430.5,2024-05-06,WB/133-127/24/0035/2,wydruki,PHPU Kseromax Sp. z o.o.
520-10-022-1-101,Zużycie materiałów biurowych,,FV/630/05/2024,2024-05-13,991.97,991.97,2024-05-29,WB/133-127/24/0042/1,materiały biurowe,"""MASTER BIURO"" S.C. MAREK KUROWSKI, MARIUSZ GRYCIUK"
520-10-022-1-101,Zużycie materiałów biurowych,,471/2024,2024-05-15,202.95,202.95,2024-06-12,WB/133-127/24/0045/2,toner Złotostocka,PHPU Kseromax Sp. z o.o.
520-10-022-1-101,Zużycie materiałów biurowych,,524/2024,2024-05-24,447.77,447.77,2024-06-03,WB/133-127/24/0044/2,ksero Piękna,PHPU Kseromax Sp. z o.o.
520-10-022-1-101,Zużycie materiałów biurowych,,2426716419106010,2024-06-12,871.76,51.42,2024-06-30,RZ/2024/06/0022,"środki czystości, artykuły biurowe",Transgourmet Polska Sp. z o.o.
520-10-022-1-101,Zużycie materiałów biurowych,,613/2024,2024-06-25,430.5,430.5,2024-07-03,WB/133-127/24/0052/4,ksero Piękna,PHPU Kseromax Sp. z o.o.
520-10-022-1-101,Zużycie materiałów biurowych,,FV/766/06/2024,2024-06-06,626.57,30.02,2024-07-03,WB/133-127/24/0052/2,"artykuły biurowe, niszczarka","""MASTER BIURO"" S.C. MAREK KUROWSKI, MARIUSZ GRYCIUK"
520-10-022-1-101,Zużycie materiałów biurowych,,2426719119106008,2024-07-09,1209.61,41.68,2024-07-29,RZ/2024/07/0014,"środki czystości, materiały biurowe",Transgourmet Polska Sp. z o.o.
520-10-022-1-101,Zużycie materiałów biurowych,,731/2024,2024-07-18,430.5,430.5,2024-08-01,WB/133-127/24/0064/6,"wydruki, Przedszkole Pitagoras",PHPU Kseromax Sp. z o.o.
520-10-022-1-105,Zużycie przedmiotów nie zaliczanych do środków trwałych i wyposażenia ewidencjonowanego,,61637955,2024-01-08,269,269,2024-01-31,RZ/2024/01/0021,kuchenka mikrofalowa,MEDIA SATURN ONLINE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
520-10-022-1-105,Zużycie przedmiotów nie zaliczanych do środków trwałych i wyposażenia ewidencjonowanego,,217/13/2024,2024-02-21,287.23,287.23,2024-03-04,WB/133-127/24/0017/2,kubeczki,SYNERGIA GASTRO S.C.
520-10-022-1-105,Zużycie przedmiotów nie zaliczanych do środków trwałych i wyposażenia ewidencjonowanego,,E/294/2024/6058,2024-05-13,10884,10884,2024-05-13,WB/130-101/24/0107/53,szafy Pitagoras,"""IKEA RETAIL"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"
